% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
12.98,339.04,27.47,18025,138831,5/7/2018 11:00:00 PM,5/7/2018 11:00:00 PM,26,21,5,5,225,450.31,1,2956,103,4,282.2,845,1,23,85348,843,481.23
52.23,617.02,28.71,16523,31638,5/3/2018 8:00:00 AM,5/3/2018 8:00:00 AM,22,18,5,5,86,986.51,1,3125,81,4,287.49,368,2,23,29851,847,647.53
46.47,528.64,24.11,12954,27874,5/21/2018 1:00:00 AM,5/21/2018 1:00:00 AM,469,12,5,5,34,584.62,1,2004,646,3,156.92,283,1,23,26549,850,356.56
8.28,509.98,28.68,20284,244956,5/9/2018 10:00:00 PM,5/9/2018 10:00:00 PM,16,18,5,5,91,379,1,3192,74,5,316.37,386,2,23,142570,850,610.22
50.95,993.9,29.16,16433,32253,5/11/2018 1:00:00 PM,5/11/2018 1:00:00 PM,15,17,5,5,59,879.37,1,3410,68,4,285.33,151,2,23,30619,854,578.87
46.86,847.96,28.4,15985,34111,5/18/2018 10:00:00 AM,5/18/2018 10:00:00 AM,20,17,5,5,62,733.17,1,2922,69,4,265.87,219,2,23,32596,854,596.38
50.55,57.49,29.21,16835,33304,5/25/2018 9:00:00 AM,5/25/2018 9:00:00 AM,18,23,5,5,40,520.89,1,3044,65,4,249.38,196,2,23,31643,857,564.74
50.12,898.87,26.29,14653,29234,5/21/2018 12:00:00 PM,5/21/2018 12:00:00 PM,68,13,5,5,40,634.37,1,2802,110,4,262.84,967,1,23,27793,859,542.55
50.5,463.97,27.64,15918,31524,5/15/2018 6:00:00 AM,5/15/2018 6:00:00 AM,15,16,5,5,41,687.42,1,2844,59,4,253.67,924,1,23,29924,861,510.43
42.67,101.96,23.28,11035,25863,5/7/2018 12:00:00 AM,5/7/2018 12:00:00 AM,504,11,5,5,104,400.13,1,1821,717,2,168.16,130,1,23,24484,861,250.99
54.15,335.81,28.79,17000,31395,5/11/2018 8:00:00 AM,5/11/2018 8:00:00 AM,14,16,5,5,61,485.18,1,3514,68,13,266.8,473,3,23,29691,864,628.65
43.25,877.27,23.38,11166,25818,5/14/2018 12:00:00 AM,5/14/2018 12:00:00 AM,766,10,5,5,28,374.68,1,1818,1040,2,171.2,113,1,23,24447,866,259.26
48.88,323.99,25.86,13188,26983,5/28/2018 11:00:00 AM,5/28/2018 11:00:00 AM,113,13,5,5,32,887.59,1,2575,171,3,244.45,746,1,23,25620,870,452.11
24.24,127.33,27.29,16596,68455,5/2/2018 6:00:00 AM,5/2/2018 6:00:00 AM,25,16,5,5,79,741.73,1,2981,76,5,316.7,135,2,23,50781,870,640.34
50.64,897.44,28.01,16074,31742,5/3/2018 11:00:00 AM,5/3/2018 11:00:00 AM,36,19,5,5,93,131.48,1,3157,96,5,292.5,209,2,23,30218,871,619.92
50.65,800.43,28.13,15739,31077,5/10/2018 8:00:00 AM,5/10/2018 8:00:00 AM,21,17,5,5,47,178.14,1,2887,67,5,247,103,2,23,29474,875,620.16
52.51,252.72,27.65,14804,28190,5/4/2018 10:00:00 AM,5/4/2018 10:00:00 AM,15,14,5,5,54,559.52,1,3112,62,4,285.18,27,2,23,26658,890,544.9
19.87,326.11,27.72,19325,97273,5/16/2018 11:00:00 PM,5/16/2018 11:00:00 PM,13,529.15,5,5,46,907.11,1,2816,58,10,315.15,528,3,23,65217,890,1
19.79,93.82,26.23,17379,87836,5/8/2018 6:00:00 AM,5/8/2018 6:00:00 AM,14,16,5,5,304,97.73,1,3083,88,5,276.58,970,1,23,63151,897,547.61
18.5,393.83,27.78,17148,92702,5/24/2018 12:00:00 PM,5/24/2018 12:00:00 PM,22,16,5,5,40,125.86,1,3012,67,5,276.74,333,2,23,56763,897,619.36
